Chips and Fresh Tomato Salsa,1
Izze,1
Nantucket Nectar,1
Chips and Tomatillo-Green Chili Salsa,1
Chicken Bowl,2
Chicken Bowl,1
Side of Chips,1
Steak Burrito,1
Steak Soft Tacos,1
Steak Burrito,1
Chips and Guacamole,1
Chicken Crispy Tacos,1
Chicken Soft Tacos,1
Chicken Bowl,1
Chips and Guacamole,1
Chips and Tomatillo-Green Chili Salsa,1
Chicken Burrito,1
Chicken Burrito,1
Canned Soda,2
Chicken Bowl,1
Chips and Guacamole,1
Barbacoa Burrito,1
Nantucket Nectar,1
Chicken Burrito,1
Izze,1
Chips and Fresh Tomato Salsa,1
Chicken Bowl,1
Carnitas Burrito,1
Canned Soda,1
Chicken Burrito,1
Chips and Tomatillo-Green Chili Salsa,1
Steak Burrito,1
Side of Chips,1
Carnitas Bowl,1
Bottled Water,1
Chicken Soft Tacos,1
Chicken Soft Tacos,1
Chips and Guacamole,1
Chips and Tomatillo Green Chili Salsa,1
Barbacoa Bowl,1
Chips,1
Chips and Guacamole,1
Chicken Bowl,1
Steak Burrito,1
Chicken Salad Bowl,1
Chicken Burrito,1
Steak Burrito,1
Izze,1
Steak Burrito,1
Chips and Guacamole,1
Steak Burrito,1
Canned Soda,2
Chicken Burrito,1
Canned Soda,1
Steak Bowl,1
Chips and Fresh Tomato Salsa,1
Barbacoa Soft Tacos,1
Veggie Burrito,1
Barbacoa Bowl,1
Chips,1
Chips and Guacamole,1
Steak Soft Tacos,1
Veggie Bowl,1
Chicken Burrito,1
Steak Burrito,1
Steak Soft Tacos,1
Izze,1
Steak Burrito,1
Chicken Burrito,1
Steak Burrito,1
Side of Chips,1
Steak Burrito,1
Chips and Guacamole,1
Chicken Burrito,1
Chips and Guacamole,1
Chicken Soft Tacos,1
Chicken Bowl,1
Chips,1
Chicken Bowl,1
Chicken Soft Tacos,1
Chips,1
Barbacoa Burrito,1
Chicken Burrito,1
Chicken Burrito,1
Steak Soft Tacos,1
Veggie Bowl,1
Steak Bowl,1
Bottled Water,1
Carnitas Burrito,1
Chips and Fresh Tomato Salsa,1
Steak Bowl,1
Steak Bowl,1
Steak Crispy Tacos,1
Carnitas Burrito,1
Chips and Guacamole,1
Barbacoa Bowl,1
Chips and Guacamole,1
Carnitas Bowl,1
Chicken Burrito,1
Chicken Bowl,1
Chips and Guacamole,1
Steak Burrito,1
Steak Bowl,1
Chips and Guacamole,1
Veggie Burrito,1
Nantucket Nectar,1
Steak Burrito,1
Canned Soda,1
Steak Burrito,1
Chips and Guacamole,1
Chicken Bowl,1
Chips and Tomatillo Red Chili Salsa,1
Chips and Guacamole,1
Chips and Tomatillo-Green Chili Salsa,1
Chicken Burrito,1
Barbacoa Bowl,1
Chicken Burrito,1
Canned Soda,1
Steak Soft Tacos,1
Chips and Guacamole,1
Chicken Burrito,1
Barbacoa Burrito,1
Chips and Guacamole,1
Chicken Bowl,1
Chips and Guacamole,1
Steak Burrito,1
Canned Soda,1
Barbacoa Bowl,1
Chips and Tomatillo Red Chili Salsa,1
Chips and Guacamole,1
Barbacoa Burrito,1
Chips and Guacamole,1
Chicken Burrito,1
Chips and Tomatillo-Green Chili Salsa,1
Chicken Burrito,1
Chicken Salad Bowl,2
Barbacoa Bowl,1
Chips and Guacamole,1
Chicken Bowl,1
Chips and Guacamole,1
Chicken Bowl,1
Chips and Guacamole,1
Chicken Bowl,1
Veggie Bowl,1
Barbacoa Burrito,1
Carnitas Bowl,1
Chips and Guacamole,1
Steak Burrito,1
Steak Burrito,2
Side of Chips,1
Chicken Burrito,2
Chips and Guacamole,1
Chicken Burrito,1
Chips and Tomatillo-Green Chili Salsa,1
Chicken Bowl,2
Chips and Guacamole,1
Chips and Guacamole,1
Veggie Bowl,1
Steak Burrito,1
Chicken Burrito,1
Chicken Bowl,1
Chicken Burrito,1
Canned Soda,2
Carnitas Bowl,1
Veggie Bowl,1
Chips and Tomatillo-Green Chili Salsa,1
Chips and Guacamole,1
Chicken Burrito,1
Barbacoa Crispy Tacos,1
Chicken Burrito,1
Chicken Burrito,1
Canned Soda,2
Chicken Burrito,1
Nantucket Nectar,1
Chicken Burrito,1
Steak Soft Tacos,1
Chicken Bowl,1
Steak Burrito,1
Chicken Burrito,1
Canned Soda,1
Canned Soda,1
Barbacoa Soft Tacos,1
Chicken Bowl,1
Chips and Fresh Tomato Salsa,1
Steak Soft Tacos,1
Chips and Guacamole,1
Veggie Salad Bowl,1
Steak Bowl,1
Chicken Burrito,1
Chicken Burrito,1
Steak Burrito,1
Chips and Roasted Chili-Corn Salsa,1
Veggie Bowl,1
Chicken Bowl,1
Chips and Fresh Tomato Salsa,1
Canned Soda,1
Steak Burrito,1
Chicken Burrito,1
Chips and Tomatillo-Green Chili Salsa,1
Chicken Bowl,1
Canned Soda,1
Chips and Guacamole,1
Chicken Burrito,1
Chicken Burrito,1
Chicken Burrito,1
Nantucket Nectar,1
Chicken Bowl,1
Steak Bowl,1
Chips,1
Chicken Bowl,1
Veggie Bowl,1
Chicken Bowl,1
Chips and Guacamole,1
Chicken Salad Bowl,2
Chips and Guacamole,1
Steak Bowl,1
Chicken Burrito,1
Chicken Crispy Tacos,2
Chicken Bowl,1
Barbacoa Bowl,1
Chicken Bowl,1
Chips,1
Barbacoa Burrito,1
Chips,2
Chicken Bowl,1
Veggie Burrito,1
Chips,1
Steak Burrito,1
Canned Soda,1
Steak Burrito,1
Chips and Guacamole,1
Chicken Bowl,1
Chips and Tomatillo Green Chili Salsa,1
Chips and Roasted Chili Corn Salsa,1
Steak Burrito,1
Chips and Tomatillo Green Chili Salsa,2
Steak Burrito,1
Carnitas Soft Tacos,1
Steak Burrito,1
Carnitas Burrito,1
Chips and Fresh Tomato Salsa,1
Chicken Burrito,2
Chicken Burrito,1
Steak Bowl,1
Chicken Burrito,1
Steak Burrito,1
Canned Soda,1
Canned Soda,1
Canned Soda,1
Barbacoa Burrito,1
Chicken Salad,1
Canned Soda,1
Chicken Bowl,1
Veggie Bowl,1
Barbacoa Bowl,1
Barbacoa Crispy Tacos,1
Chicken Salad Bowl,1
Chicken Bowl,1
Steak Burrito,1
Steak Bowl,1
Steak Bowl,1
Canned Soda,1
Steak Bowl,1
Canned Soft Drink,1
Steak Burrito,1
Chips and Fresh Tomato Salsa,1
Steak Soft Tacos,1
Chips and Fresh Tomato Salsa,1
Barbacoa Soft Tacos,1
Chips and Guacamole,1
Chicken Burrito,1
Chips and Tomatillo-Green Chili Salsa,1
